TimeWindow,Flow_Count,Total_Packets,Total_Bytes,Total_Source_Bytes,Avg_Duration,Avg_Packets_Per_Flow,Avg_Bytes_Per_Flow,Attack_Flow_Count,Attack_Ratio,Flow_Count_Change,Total_Packets_Change,Total_Bytes_Change,Total_Source_Bytes_Change,Avg_Duration_Change,Target_Next_Attack
2011-08-15 16:49:30,2552,1161484,1394940313,17320476,110.66580643495297,455.1269592476489,546606.7057210031,0,0.0,692.0,1142548.0,1389660163.0,15891547.0,-23.607729584939506,0
2011-08-15 16:50:00,2342,24140,12747054,1274222,96.69902915713067,10.307429547395389,5442.807002561913,0,0.0,-210.0,-1137344.0,-1382193259.0,-16046254.0,-13.966777277822302,0
2011-08-15 16:50:30,2069,46167,31291788,2371830,111.08776306186563,22.31367810536491,15124.112131464475,0,0.0,-273.0,22027.0,18544734.0,1097608.0,14.388733904734963,0
2011-08-15 16:51:00,2513,61038,47470570,2481121,99.75319594986071,24.288897731794666,18890.0,0,0.0,444.0,14871.0,16178782.0,109291.0,-11.334567112004919,0
2011-08-15 16:51:30,2319,23705,12435309,2337814,100.90299980034497,10.222078482104356,5362.358344113843,0,0.0,-194.0,-37333.0,-35035261.0,-143307.0,1.1498038504842611,0
2011-08-15 16:52:00,1948,44892,19468228,2672183,124.50702169045174,23.04517453798768,9993.956878850102,0,0.0,-371.0,21187.0,7032919.0,334369.0,23.604021890106765,1
2011-08-15 16:52:30,1860,15534,8180498,1333996,94.84808615860214,8.351612903225806,4398.117204301076,3,0.0016129032258064516,-88.0,-29358.0,-11287730.0,-1338187.0,-29.658935531849593,0
2011-08-15 16:53:00,1842,19205,12489491,946572,90.5492789907709,10.426167209554832,6780.396851248643,0,0.0,-18.0,3671.0,4308993.0,-387424.0,-4.298807167831242,1
2011-08-15 16:53:30,2192,51910,43037767,1897367,49.74566512226278,23.681569343065693,19634.017791970804,8,0.0036496350364963502,350.0,32705.0,30548276.0,950795.0,-40.80361386850812,1
2011-08-15 16:54:00,1844,31074,24407086,2198474,46.630334335140994,16.851409978308027,13235.946854663775,13,0.0070498915401301515,-348.0,-20836.0,-18630681.0,301107.0,-3.115330787121785,1
2011-08-15 16:54:30,2228,19104,9011297,1534088,47.60903732719928,8.574506283662478,4044.5677737881506,20,0.008976660682226212,384.0,-11970.0,-15395789.0,-664386.0,0.9787029920582881,1
2011-08-15 16:55:00,2137,21299,12099260,1298789,35.47768633598503,9.966775854000936,5661.796911558259,12,0.005615348619560131,-91.0,2195.0,3087963.0,-235299.0,-12.131350991214255,1
2011-08-15 16:55:30,2569,51356,40011275,2381942,39.16522095328922,19.99065784351888,15574.649669131957,14,0.005449591280653951,432.0,30057.0,27912015.0,1083153.0,3.6875346173041947,1
2011-08-15 16:56:00,2026,19369,9939175,1366194,39.2666217887463,9.560217176702864,4905.811944718657,10,0.004935834155972359,-543.0,-31987.0,-30072100.0,-1015748.0,0.10140083545707768,1
2011-08-15 16:56:30,1901,21848,12292634,2501090,32.55226920778538,11.492898474487111,6466.403997895844,5,0.0026301946344029457,-125.0,2479.0,2353459.0,1134896.0,-6.71435258096092,1
2011-08-15 16:57:00,1877,24425,15941753,1746593,36.617203587107085,13.012786361214705,8493.20884389984,6,0.0031965903036760787,-24.0,2577.0,3649119.0,-754497.0,4.064934379321706,1
2011-08-15 16:57:30,2503,31597,18638111,1786289,33.52333236715941,12.62365161805833,7446.308829404715,7,0.002796644027167399,626.0,7172.0,2696358.0,39696.0,-3.0938712199476726,1
2011-08-15 16:58:00,1916,33371,12534605,2240895,33.36274546868476,17.417014613778704,6542.069415448852,38,0.019832985386221295,-587.0,1774.0,-6103506.0,454606.0,-0.16058689847465502,1
2011-08-15 16:58:30,1710,24917,15027432,2336806,34.002528146198834,14.571345029239765,8787.971929824562,27,0.015789473684210527,-206.0,-8454.0,2492827.0,95911.0,0.6397826775140771,1
2011-08-15 16:59:00,1861,23131,9743292,2146560,36.78410054164428,12.429339065018807,5235.514239656099,19,0.010209564750134336,151.0,-1786.0,-5284140.0,-190246.0,2.781572395445444,1
2011-08-15 16:59:30,2110,18802,9631528,1496929,33.20073160047393,8.91090047393365,4564.705213270142,8,0.0037914691943127963,249.0,-4329.0,-111764.0,-649631.0,-3.583368941170349,1
2011-08-15 17:00:00,2143,18644,9156896,1923535,28.161531336444234,8.699953336444237,4272.933271115259,15,0.006999533364442371,33.0,-158.0,-474632.0,426606.0,-5.039200264029695,1
2011-08-15 17:00:30,2404,65434,49966603,9956918,30.270999497504164,27.218801996672212,20784.776622296173,25,0.010399334442595673,261.0,46790.0,40809707.0,8033383.0,2.1094681610599295,1
2011-08-15 17:01:00,2494,101116,106568168,2971898,22.54601916880513,40.54370489174018,42729.818765036085,22,0.008821170809943865,90.0,35682.0,56601565.0,-6985020.0,-7.724980328699033,1
2011-08-15 17:01:30,1994,19476,10733934,1495284,26.854505308425278,9.76730190571715,5383.116349047142,21,0.01053159478435306,-500.0,-81640.0,-95834234.0,-1476614.0,4.308486139620147,1
2011-08-15 17:02:00,2128,105423,113019684,2464530,20.85217117199248,49.54088345864662,53110.753759398496,25,0.011748120300751879,134.0,85947.0,102285750.0,969246.0,-6.002334136432797,1
2011-08-15 17:02:30,1866,108200,116218642,2364116,19.004000973740624,57.98499464094319,62282.23043944266,14,0.007502679528403001,-262.0,2777.0,3198958.0,-100414.0,-1.8481701982518572,1
2011-08-15 17:03:00,1908,18235,9484943,1832005,17.00897019287212,9.55712788259958,4971.144129979036,12,0.006289308176100629,42.0,-89965.0,-106733699.0,-532111.0,-1.995030780868504,1
2011-08-15 17:03:30,2075,20223,11449940,1424141,16.734108464578313,9.746024096385542,5518.043373493976,36,0.017349397590361446,167.0,1988.0,1964997.0,-407864.0,-0.27486172829380706,1
2011-08-15 17:04:00,1992,25586,12353544,2144835,11.685197276606427,12.844377510040161,6201.578313253012,55,0.027610441767068273,-83.0,5363.0,903604.0,720694.0,-5.0489111879718855,1
2011-08-15 17:04:30,2270,28446,19146659,2984938,11.442015530837004,12.531277533039647,8434.65154185022,59,0.025991189427312777,278.0,2860.0,6793115.0,840103.0,-0.24318174576942297,1
2011-08-15 17:05:00,2076,41922,30552728,2732325,12.59490261849711,20.19364161849711,14717.113680154143,40,0.019267822736030827,-194.0,13476.0,11406069.0,-252613.0,1.1528870876601065,1
2011-08-15 17:05:30,2385,24831,15786199,2068499,9.555971352620544,10.41132075471698,6618.951362683438,52,0.02180293501048218,309.0,-17091.0,-14766529.0,-663826.0,-3.038931265876567,1
2011-08-15 17:06:00,1837,15028,6802576,1456414,11.746063407729993,8.180729450190528,3703.0898203592815,48,0.0261295590636908,-548.0,-9803.0,-8983623.0,-612085.0,2.1900920551094494,1
2011-08-15 17:06:30,2535,61272,23213606,6860303,13.654090101775147,24.170414201183434,9157.241025641026,39,0.015384615384615385,698.0,46244.0,16411030.0,5403889.0,1.9080266940451533,1
2011-08-15 17:07:00,2229,35016,25475014,1843535,11.290960639748768,15.7092866756393,11428.898160610139,25,0.011215791834903545,-306.0,-26256.0,2261408.0,-5016768.0,-2.3631294620263787,1
2011-08-15 17:07:30,2266,18548,8278168,1201791,10.406996130626654,8.185348631950573,3653.207413945278,24,0.01059135039717564,37.0,-16468.0,-17196846.0,-641744.0,-0.883964509122114,1
2011-08-15 17:08:00,2592,33677,18378162,2258262,10.300123445601852,12.99266975308642,7090.340277777777,18,0.006944444444444444,326.0,15129.0,10099994.0,1056471.0,-0.1068726850248023,1
2011-08-15 17:08:30,1981,60891,55657473,1875038,9.095849299848561,30.73750630994447,28095.645128722867,18,0.009086320040383645,-611.0,27214.0,37279311.0,-383224.0,-1.2042741457532902,1
2011-08-15 17:09:00,1906,25480,13789839,1599008,11.187367068205665,13.368310598111227,7234.962749213011,23,0.012067156348373556,-75.0,-35411.0,-41867634.0,-276030.0,2.091517768357104,1
2011-08-15 17:09:30,1715,14883,8287355,858239,7.443129254227405,8.678134110787171,4832.276967930029,19,0.011078717201166181,-191.0,-10597.0,-5502484.0,-740769.0,-3.74423781397826,1
2011-08-15 17:10:00,1497,37339,15699632,1610857,6.179914342017368,24.942551770207082,10487.396125584502,19,0.012692050768203072,-218.0,22456.0,7412277.0,752618.0,-1.263214912210037,1
2011-08-15 17:10:30,1825,20453,13958733,1165267,5.88435634630137,11.207123287671234,7648.620821917808,19,0.010410958904109589,328.0,-16886.0,-1740899.0,-445590.0,-0.29555799571599817,1
2011-08-15 17:11:00,1828,29544,21487300,1481660,6.489587317286653,16.161925601750546,11754.540481400438,21,0.011487964989059081,3.0,9091.0,7528567.0,316393.0,0.605230970985283,1
2011-08-15 17:11:30,1939,15626,9438069,952420,3.0203361289324393,8.0587931923672,4867.493037648273,22,0.011346054667354307,111.0,-13918.0,-12049231.0,-529240.0,-3.469251188354214,1
2011-08-15 17:12:00,1788,26555,20120360,1220005,3.2168145,14.851789709172259,11252.997762863535,21,0.01174496644295302,-151.0,10929.0,10682291.0,267585.0,0.1964783710675606,1
2011-08-15 17:12:30,1753,23734,18531840,1319411,3.2000705396463203,13.53907586993725,10571.500285225327,19,0.010838562464346835,-35.0,-2821.0,-1588520.0,99406.0,-0.016743960353679643,0
