Window_ID,Timestamp,Packet_Count,Avg_Packet_Size,Packet_Size_Variance,TTL_Mean,TTL_Variance,TCP_Window_Mean,TCP_Window_Variance,TCP_SYN_Count,TCP_ACK_Count,TCP_RST_Count,TCP_FIN_Count,TCP_PSH_Count,Fragmented_Packet_Count,Unique_Source_IPs,Unique_Destination_IPs,Unique_Destination_Ports,Max_Unique_Ports_Per_Source,Port_Scan_Signature,Scan_Entropy,Window_Duration
10,2019-07-15 20:50:37.823010921,122,332.4836065573771,526083.3316984681,61.55172413793103,131.1438763376932,919.1176470588235,350432.22145328723,0,34,0,0,18,0,4,4,5,1,0,2.321928094880149,29.43515396118164
11,2019-07-15 20:51:07.823010921,371,229.54716981132074,312930.39871840517,61.282467532467535,160.19618611907572,716.989010989011,12083894.04749829,4,271,0,2,164,0,5,5,7,3,0,2.807354922047505,29.339499950408936
12,2019-07-15 20:51:37.823010921,137,294.3430656934307,401930.2983643242,53.5625,536.22109375,765.8888888888889,343467.20987654326,0,45,0,0,25,0,5,5,6,2,0,2.5849625007125,29.2133572101593
13,2019-07-15 20:52:07.823010921,185,302.34054054054053,583802.5056537618,66.1639344262295,807.5632894383236,2238.8115942028985,44000591.97899601,4,67,0,4,28,0,9,9,17,6,0,4.087462841225814,29.430283069610596
14,2019-07-15 20:52:37.823010921,192,339.1354166666667,573271.3254123266,69.85714285714286,583.4758324382382,738.5645161290323,367792.98777315294,0,62,0,0,32,0,6,6,19,11,1,4.247927513416173,29.46474003791809
15,2019-07-15 20:53:07.823010921,130,282.96923076923076,425588.060591716,56.476190476190474,387.77324263038537,817.4375,369350.05859375,0,32,0,0,15,0,5,5,6,2,0,2.5849625007125,29.626508951187134
16,2019-07-15 20:53:37.823010921,179,350.50837988826817,608630.953840392,69.54098360655738,596.7073367374361,717.875,361583.32366071426,0,56,0,0,28,0,6,6,17,10,1,4.087462841225814,29.80654788017273
17,2019-07-15 20:54:07.823010921,185,331.25405405405405,591999.086807889,68.95161290322581,624.7718522372527,698.2142857142857,349647.9540816327,0,56,0,0,27,0,6,6,19,10,1,4.247927513416173,29.820348978042603
18,2019-07-15 20:54:37.823010921,128,280.5078125,398591.10931396484,51.470588235294116,604.9256055363322,820.0,366329.6875,0,32,0,0,15,0,5,5,7,2,0,2.807354922047505,29.396204948425293
19,2019-07-15 20:55:07.823010921,143,330.3776223776224,632788.5986600812,68.98795180722891,366.3492524314123,703.425,350724.244375,0,40,0,0,18,0,6,6,14,5,0,3.807354922037407,29.699583053588867
20,2019-07-15 20:55:37.823010921,116,277.7931034482759,396749.0434007135,57.73684210526316,314.40443213296396,785.8387096774194,372406.45785639953,0,31,0,0,13,0,5,5,6,2,0,2.5849625007125,29.607492923736572
21,2019-07-15 20:56:07.823010921,130,269.81538461538463,389823.535147929,54.63076923076923,466.57136094674553,785.8387096774194,372406.45785639953,0,31,0,0,13,0,5,5,6,2,0,2.5849625007125,29.840980052947998
22,2019-07-15 20:56:37.823010921,2298,68.14403829416884,22369.855232082085,56.0846394984326,89.49440355342419,593.2321266968326,2491664.225302717,1091,1119,1085,2,13,0,6,6,1007,1000,1,9.975847966553989,29.73567295074463
23,2019-07-15 20:57:07.823010921,134,255.70149253731344,347177.6870126978,55.67605633802817,577.542947827812,2336.2571428571428,42435101.791020416,2,34,0,2,15,0,6,6,8,3,0,2.9999999999884586,29.17446208000183
24,2019-07-15 20:57:37.823010921,124,293.6290322580645,364094.73335067637,50.08695652173913,669.470699432892,934.8709677419355,351283.08012487006,0,31,0,0,16,0,4,4,4,1,0,1.9999999999942293,29.431694984436035
25,2019-07-15 20:58:07.823010921,117,276.9145299145299,393985.6508145227,62.4375,80.49609375,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.431052923202515
26,2019-07-15 20:58:37.823010921,109,292.70642201834863,418713.69362848223,56.5,401.9423076923077,930.28,351086.36159999995,0,25,0,0,13,0,4,4,5,1,0,2.321928094880149,29.175249814987183
27,2019-07-15 20:59:07.823010921,124,270.98387096774195,372824.25780437054,54.01724137931034,516.4307372175981,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.611216068267822
28,2019-07-15 20:59:37.823010921,110,292.8181818181818,414934.40330578515,55.611111111111114,444.3487654320987,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.504406929016113
29,2019-07-15 21:00:07.823010921,178,302.62359550561797,483253.650454488,60.64485981308411,738.3411651672637,1907.433962264151,29297492.924884304,2,52,0,0,24,0,6,6,12,5,0,3.584962500703843,29.04451608657837
30,2019-07-15 21:00:37.823010921,177,338.84180790960454,701937.3648057709,68.34782608695652,749.33988657845,806.2272727272727,358633.2210743802,0,44,0,0,21,0,6,6,17,10,1,4.087462841225814,29.370480060577393
31,2019-07-15 21:01:07.823010921,142,270.5211267605634,323494.4608212656,60.67142857142857,854.7920408163264,861.5,349955.7,0,40,0,0,18,0,6,6,8,2,0,2.9999999999884586,29.81174612045288
32,2019-07-15 21:01:37.823010921,194,323.64948453608247,622220.5781698374,65.45925925925926,971.4779698216736,800.9591836734694,355756.0799666806,0,49,0,0,23,0,6,6,19,12,1,4.247927513416173,29.426197052001953
33,2019-07-15 21:02:07.823010921,205,288.55121951219513,468231.4571326591,66.71428571428571,793.2266380236305,1698.9298245614036,26832841.22314558,2,56,0,2,25,0,7,7,19,11,1,4.247927513416173,29.586933851242065
34,2019-07-15 21:02:37.823010921,129,321.08527131782944,423277.44234120555,61.51428571428571,111.76408163265305,879.5909090909091,353559.2417355371,0,44,0,0,20,0,5,5,6,2,0,2.5849625007125,29.708093881607056
35,2019-07-15 21:03:07.823010921,143,290.5524475524476,444586.0934031004,62.3780487804878,663.6741522903034,838.6111111111111,363131.23765432095,0,36,0,0,16,0,6,6,12,4,0,3.584962500703843,29.540052890777588
36,2019-07-15 21:03:37.823010921,132,298.3787878787879,470818.2353076217,55.130434782608695,443.5916824196599,884.3783783783783,356455.5865595325,0,37,0,0,16,0,5,5,6,2,0,2.5849625007125,29.625586986541748
37,2019-07-15 21:04:07.823010921,116,276.57758620689657,397363.054325208,62.03703703703704,75.44307270233196,892.03125,358971.0302734375,0,32,0,0,13,0,5,5,6,2,0,2.5849625007125,29.34903383255005
38,2019-07-15 21:04:37.823010921,137,302.40875912408757,422621.5263466354,55.19230769230769,436.6168639053256,849.3333333333334,360671.73333333334,0,45,0,2,19,0,5,5,6,2,0,2.5849625007125,29.60765290260315
39,2019-07-15 21:05:07.823010921,113,286.6106194690266,405468.55634740397,55.611111111111114,444.3487654320987,930.28,351086.36159999995,0,25,0,0,13,0,4,4,5,1,0,2.321928094880149,29.716404914855957
40,2019-07-15 21:05:37.823010921,183,786.8360655737705,1397857.9512675803,58.02542372881356,159.7366417696065,2296.8260869565215,50302063.46975428,6,89,0,2,19,0,5,5,8,4,0,2.9999999999884586,28.99959897994995
41,2019-07-15 21:06:07.823010921,1017,1797.5526057030481,1849870.7192090407,58.67223382045929,72.9551998117163,1012.3673469387755,16293089.884390272,18,922,0,13,181,0,5,5,16,12,1,3.9999999999769167,29.700735092163086
42,2019-07-15 21:06:37.823010921,395,1763.1189873417723,6791546.783310368,57.10843373493976,134.62679634199446,1073.7707641196014,16677896.302932639,6,298,0,15,53,0,5,5,14,10,1,3.807354922037407,29.608447074890137
43,2019-07-15 21:07:07.823010921,374,1179.0106951871658,3430869.6683348105,68.87378640776699,588.7057529770321,1524.0075471698112,40190557.75088643,10,260,0,6,55,0,9,9,20,7,0,4.321928094858508,29.519142866134644
44,2019-07-15 21:07:37.823010921,417,956.6043165467626,1585097.884201991,55.857549857549856,150.91987889708687,2283.584375,53184202.23663087,22,307,2,21,60,0,6,6,22,15,1,4.459431618605558,29.18002986907959
45,2019-07-15 21:08:07.823010921,225,277.9066666666667,356868.7512888889,65.24539877300613,751.9152395649066,2565.2432432432433,54874116.58047237,8,104,3,11,41,0,9,9,23,10,1,4.523561956023831,29.39850902557373
46,2019-07-15 21:08:37.823010921,207,314.02415458937196,536831.4341991646,69.48611111111111,551.4164737654321,2591.1388888888887,52597528.45293209,5,70,0,3,28,0,7,7,22,11,1,4.459431618605558,29.46872305870056
47,2019-07-15 21:09:07.823010921,240,288.97083333333336,393084.01998263894,56.21022727272727,392.83648631198344,6243.531468531469,125822678.01124746,31,126,2,15,35,0,7,7,20,13,1,4.321928094858508,29.425468921661377
48,2019-07-15 21:09:37.823010921,518,859.5714285714286,1852441.360728075,57.83480176211454,301.9132381765607,1716.0,35778386.85340314,17,376,0,9,46,0,8,8,28,12,1,4.807354922017208,29.544657945632935
49,2019-07-15 21:10:07.823010921,232,355.9008620689655,538884.5893096016,62.65294117647059,626.2501384083046,1722.340206185567,32444363.25539377,4,95,0,6,39,0,7,7,22,10,1,4.459431618605558,29.82379698753357
50,2019-07-15 21:10:37.823010921,175,324.5657142857143,426383.959967347,55.36448598130841,206.92322473578477,2596.4814814814813,56346199.43484224,6,78,0,5,31,0,6,6,12,7,0,3.584962500703843,29.422023057937622
51,2019-07-15 21:11:07.823010921,325,380.81538461538463,578942.1813017752,57.55598455598456,310.6020780847036,3378.43961352657,78706382.61350322,22,196,0,26,55,0,7,7,27,16,1,4.7548875021245145,29.421061992645264
52,2019-07-15 21:11:37.823010921,186,286.53225806451616,324695.9586368367,56.97560975609756,115.43842950624628,2150.1530612244896,47498461.76228654,6,95,0,12,31,0,6,6,13,8,0,3.7004397181223365,29.75768494606018
53,2019-07-15 21:12:07.823010921,220,317.9409090909091,332990.10105371906,52.6375,414.66859374999996,2352.846153846154,52222887.22419462,8,113,0,4,46,0,8,8,12,6,0,3.584962500703843,29.814841985702515
54,2019-07-15 21:12:37.823010921,246,1073.3170731707316,2024747.0864564741,57.005434782608695,189.72279655009453,878.3333333333334,10868463.568627452,2,152,0,5,26,0,6,6,9,5,0,3.169925001429328,29.979126930236816
55,2019-07-15 21:13:07.823010921,122,271.3688524590164,378953.31476753566,60.793103448275865,91.92271105826397,4133.823529411765,83301764.61591695,4,32,0,2,13,0,5,5,9,4,0,3.169925001429328,29.756255865097046
56,2019-07-15 21:13:37.823010921,127,260.29133858267716,365730.0017360033,54.45454545454545,419.702479338843,2237.2702702702704,41159581.818845876,2,37,0,2,13,0,5,5,7,3,0,2.807354922047505,29.20474600791931
57,2019-07-15 21:14:07.823010921,117,283.2991452991453,339534.004529184,56.01754385964912,423.94706063404124,954.0,351649.0,0,28,0,0,14,0,4,4,4,1,0,1.9999999999942293,29.597198963165283
58,2019-07-15 21:14:37.823010921,112,292.3482142857143,408228.22696109704,61.294117647058826,148.56055363321798,930.28,351086.36160000006,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.66283893585205
59,2019-07-15 21:15:07.823010921,120,274.6,384040.2233333334,51.8448275862069,605.200059453032,930.28,351086.36160000006,0,25,0,0,13,0,4,4,5,1,0,2.321928094880149,29.226880073547363
60,2019-07-15 21:15:37.823010921,124,266.5806451612903,373088.0822060354,63.6764705882353,1239.1600346020762,8146.763157894737,123284256.18074796,12,32,0,0,13,0,6,6,8,3,0,2.9999999999884586,29.671268939971924
61,2019-07-15 21:16:07.823010921,177,291.79661016949154,435686.1394235373,67.72321428571429,420.4144610969387,6700.69696969697,122938593.78696053,13,62,0,0,24,0,7,7,15,5,0,3.906890595586879,29.75056505203247
62,2019-07-15 21:16:37.823010921,180,343.40555555555557,750935.9077469137,70.66101694915254,651.8850904912383,768.6521739130435,346852.35727788287,0,46,0,0,22,0,6,6,18,11,1,4.169925001416344,29.32059907913208
63,2019-07-15 21:17:07.823010921,157,303.45859872611464,512673.84064262244,56.27272727272727,509.6074380165288,1840.7307692307693,29180282.119822487,2,51,0,2,22,0,7,7,10,3,0,3.3219280948729355,29.184886932373047
64,2019-07-15 21:17:37.823010921,415,250.73493975903614,380607.1393816229,66.04722222222222,197.41165895061732,527.2935153583618,5745749.98210812,2,292,0,0,161,0,7,7,19,10,1,4.247927513416173,29.608541011810303
65,2019-07-15 21:18:07.823010921,279,277.4874551971326,452971.48998599715,65.40865384615384,480.53011741863895,592.0148148148148,254448.31089163234,0,135,0,2,71,0,7,7,19,10,1,4.247927513416173,29.577149152755737
66,2019-07-15 21:18:37.823010921,130,259.3,357766.81,58.1764705882353,650.5865051903115,5280.166666666667,86349775.52777778,7,32,1,0,13,0,6,6,9,4,0,3.169925001429328,29.684793949127197
67,2019-07-15 21:19:07.823010921,168,292.85714285714283,449257.09863945586,62.510416666666664,567.0207248263888,3099.549019607843,58313604.757401,4,51,0,0,21,0,6,7,13,4,0,3.7004397181223365,29.650771141052246
68,2019-07-15 21:19:37.823010921,123,271.3821138211382,375604.69138740154,53.5,514.78125,870.9032258064516,356266.15192507807,0,31,0,0,13,0,5,5,6,2,0,2.5849625007125,29.823179006576538
69,2019-07-15 21:20:07.823010921,143,240.36363636363637,328412.4551811824,50.208955223880594,643.8070839830698,870.9032258064516,356266.15192507807,0,31,0,0,13,0,5,5,6,2,0,2.5849625007125,29.830456972122192
70,2019-07-15 21:20:37.823010921,119,274.33613445378154,387812.02146741067,60.93103448275862,134.54696789536266,832.9117647058823,363427.90397923876,0,34,0,2,13,0,5,5,6,2,0,2.5849625007125,29.186474084854126
71,2019-07-15 21:21:07.823010921,124,265.6774193548387,373433.96045785636,51.63157894736842,613.1800554016621,930.28,351086.36159999995,0,25,0,0,13,0,4,4,5,1,0,2.321928094880149,29.607959032058716
72,2019-07-15 21:21:37.823010921,122,274.4918032786885,377779.1187852728,49.046875,706.825927734375,930.28,351086.36159999995,0,25,0,0,13,0,4,5,5,2,0,2.321928094880149,29.64374613761902
73,2019-07-15 21:22:07.823010921,145,239.2206896551724,323737.978882283,55.67605633802817,577.5429478278119,2336.2571428571428,42435101.791020416,2,34,0,2,15,0,6,7,9,4,0,3.169925001429328,29.277894973754883
74,2019-07-15 21:22:37.823010921,108,299.3425925925926,421399.7067043896,57.83018867924528,336.59380562477753,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.187769889831543
75,2019-07-15 21:23:07.823010921,134,309.2164179104478,562246.6173423924,54.62903225806452,488.55593132153996,914.4666666666667,350086.11555555556,0,30,0,0,16,0,4,6,6,2,0,2.5849625007125,29.60905408859253
76,2019-07-15 21:23:37.823010921,116,290.6034482758621,431369.5841260404,54.785714285714285,482.31122448979596,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.51938009262085
77,2019-07-15 21:24:07.823010921,173,298.71676300578036,491282.8041698688,61.73529411764706,703.3711072664358,1927.795918367347,31737566.366513956,2,48,0,0,22,0,6,6,12,5,0,3.584962500703843,29.309491872787476
78,2019-07-15 21:24:37.823010921,179,333.8212290502793,557256.9959739085,67.34188034188034,695.9514939002119,750.5576923076923,373662.01590236684,0,52,0,0,26,0,6,6,16,9,0,3.9999999999769167,29.53227996826172
79,2019-07-15 21:25:07.823010921,123,294.6666666666667,419565.1165311654,62.20338983050848,69.34846308532032,778.6470588235294,372218.52249134943,0,34,0,0,15,0,5,5,7,2,0,2.807354922047505,29.76917600631714
80,2019-07-15 21:25:37.823010921,195,326.74871794871797,519971.6035239974,68.99236641221374,662.8778043237572,739.9322033898305,368173.1818442976,0,59,0,0,29,0,6,6,18,11,1,4.169925001416344,29.6550350189209
81,2019-07-15 21:26:07.823010921,173,343.5895953757225,642216.935614287,69.0,721.6991150442478,690.7727272727273,351080.2665289256,0,44,0,0,23,0,6,6,17,10,1,4.087462841225814,29.6466281414032
82,2019-07-15 21:26:37.823010921,125,289.456,357376.63206399995,61.285714285714285,123.63265306122452,812.2162162162163,373885.8451424398,0,37,0,0,16,0,5,5,6,2,0,2.5849625007125,29.607841968536377
83,2019-07-15 21:27:07.823010921,170,277.3411764705882,448963.0012456747,59.176991150442475,881.1722139556738,1780.52,30513746.3696,2,49,0,2,20,0,7,7,14,6,0,3.807354922037407,29.728888034820557
84,2019-07-15 21:27:37.823010921,129,257.13178294573646,360763.81984255754,54.9,451.59000000000015,785.8387096774194,372406.4578563996,0,31,0,0,13,0,5,5,7,2,0,2.807354922047505,28.99966287612915
85,2019-07-15 21:28:07.823010921,113,289.65486725663715,405189.6773435664,62.125,72.93080357142857,785.8387096774194,372406.4578563996,0,31,0,0,13,0,5,5,6,2,0,2.5849625007125,29.33079695701599
86,2019-07-15 21:28:37.823010921,126,260.95238095238096,368585.10884353745,56.950819672131146,347.4565976887933,729.5,373294.60294117645,0,34,0,2,13,0,5,5,6,2,0,2.5849625007125,29.608942985534668
87,2019-07-15 21:29:07.823010921,116,280.55172413793105,396354.78180737235,55.611111111111114,444.3487654320987,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.416916847229004
88,2019-07-15 21:29:37.823010921,125,270.824,369775.377024,57.42372881355932,1180.7187589773057,930.28,351086.36159999995,0,25,0,0,13,0,5,5,6,1,0,2.5849625007125,29.29731321334839
89,2019-07-15 21:30:07.823010921,121,273.8347107438017,380837.27846458583,48.564516129032256,722.1813215400625,930.28,351086.36159999995,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.191243171691895
90,2019-07-15 21:30:37.823010921,125,267.464,320445.24070399994,54.91228070175438,474.7116035703294,954.0,351649.0,0,28,0,0,14,0,4,4,4,1,0,1.9999999999942293,29.618530988693237
91,2019-07-15 21:31:07.823010921,113,289.50442477876106,405360.81635210273,62.5,77.37,930.28,351086.36160000006,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.70566701889038
92,2019-07-15 21:31:37.823010921,115,282.6695652173913,399274.44733459374,57.71153846153846,342.32063609467457,930.28,351086.36160000006,0,25,0,0,13,0,4,4,5,1,0,2.321928094880149,29.230667114257812
93,2019-07-15 21:32:07.823010921,180,286.8833333333333,433134.6697222223,61.313559322033896,727.096595805803,2575.35,49792350.89416667,4,58,0,2,24,0,7,7,14,6,0,3.807354922037407,29.607839822769165
94,2019-07-15 21:32:37.823010921,325,295.0338461538461,506407.1465467455,66.04562737642586,317.88384970145586,653.4375,8693148.787760416,2,191,0,0,111,0,7,7,19,10,1,4.247927513416173,29.847174882888794
95,2019-07-15 21:33:07.823010921,271,203.08487084870848,228725.2658596697,60.17788461538461,170.39624167899407,631.2727272727273,9292357.755165292,2,172,3,2,104,0,8,8,12,5,0,3.584962500703843,29.288493156433105
96,2019-07-15 21:33:37.823010921,577,181.56152512998267,205217.33460287325,64.35135135135135,183.19701554836692,388.28125,99352.46554129464,0,448,0,0,296,0,7,7,19,9,0,4.247927513416173,29.668413877487183
97,2019-07-15 21:34:07.823010921,598,164.2257525083612,195261.9005408217,65.74953271028038,110.46810725827581,426.661733615222,101525.39086126519,0,473,0,0,302,0,7,7,19,10,1,4.247927513416173,29.94305992126465
98,2019-07-15 21:34:37.823010921,427,164.423887587822,165875.4901085401,62.575675675675676,81.12535427319213,669.1710914454277,4860855.610845711,2,335,3,2,217,0,8,8,12,5,0,3.584962500703843,29.649442195892334
99,2019-07-15 21:35:07.823010921,300,218.60666666666665,295666.89862222224,63.0940170940171,315.03389582876764,876.0167597765363,9073383.290221903,2,175,3,2,100,0,8,8,17,6,0,4.087462841225814,29.75759792327881
100,2019-07-15 21:35:37.823010921,120,276.18333333333334,384037.3163888889,55.98360655737705,398.47514109110455,785.8387096774194,372406.45785639953,0,31,0,0,13,0,5,5,7,2,0,2.807354922047505,29.692720890045166
101,2019-07-15 21:36:07.823010921,229,199.2008733624454,235170.3875974905,60.77906976744186,176.8232828555976,699.5314685314685,223373.68956917207,0,143,0,0,87,0,6,6,8,3,0,2.9999999999884586,29.47293996810913
102,2019-07-15 21:36:37.823010921,280,225.39642857142857,368903.68927295913,61.450450450450454,139.18448177907638,623.203125,230190.75561523438,0,192,0,2,104,0,6,6,8,3,0,2.9999999999884586,29.41203498840332
103,2019-07-15 21:37:07.823010921,488,482.0532786885246,1106927.2676531845,68.88290398126463,366.707599997806,1001.729381443299,19557284.444806833,6,385,0,4,152,0,9,9,16,5,0,3.9999999999769167,29.511759042739868
104,2019-07-15 21:37:37.823010921,139,297.9568345323741,399917.2355468144,60.0,223.3012048192771,837.6071428571429,325187.66709183675,0,56,0,0,31,0,5,5,7,2,0,2.807354922047505,29.603824853897095
105,2019-07-15 21:38:07.823010921,118,275.4491525423729,390430.41690606164,57.91228070175438,549.1326562019083,844.5862068965517,349053.62187871576,0,29,0,0,15,0,5,5,6,2,0,2.5849625007125,29.41239309310913
106,2019-07-15 21:38:37.823010921,119,280.2689075630252,386482.179789563,55.08620689655172,468.21670630202135,954.0,351649.0,0,26,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.345695972442627
107,2019-07-15 21:39:07.823010921,127,261.59055118110234,365304.88746977504,51.63492063492063,710.8984630889395,889.3448275862069,351831.7431629013,0,29,0,0,15,0,5,5,6,2,0,2.5849625007125,29.195841789245605
108,2019-07-15 21:39:37.823010921,126,262.36507936507934,368166.8190980096,57.166666666666664,576.3388888888891,813.9032258064516,340184.9906347555,0,31,0,2,15,0,5,5,7,2,0,2.807354922047505,29.60828185081482
109,2019-07-15 21:40:07.823010921,164,315.2743902439024,435684.1381246282,66.6470588235294,390.22837370242235,1821.5636363636363,28405811.373223145,2,54,0,0,25,0,6,6,12,5,0,3.584962500703843,29.692770957946777
110,2019-07-15 21:40:37.823010921,184,327.98369565217394,592674.0486472117,69.84482758620689,625.6828180737219,710.58,369965.68360000005,0,50,0,0,24,0,6,6,17,10,1,4.087462841225814,29.318712949752808
111,2019-07-15 21:41:07.823010921,125,291.96,411994.1184000001,56.578125,382.368896484375,812.2,364776.3885714285,0,35,0,0,17,0,5,5,6,2,0,2.5849625007125,29.196725845336914
112,2019-07-15 21:41:37.823010921,188,331.1968085106383,535107.2112664102,69.94354838709677,549.9726196670134,753.2280701754386,375876.5269313635,0,57,0,0,27,0,6,6,18,10,1,4.169925001416344,29.814718008041382
113,2019-07-15 21:42:07.823010921,270,517.6518518518518,3286355.6639780523,66.88177339901478,908.0451357713121,1607.362745098039,30631885.878219917,4,100,0,2,48,0,8,9,27,16,1,4.7548875021245145,29.59329104423523
114,2019-07-15 21:42:37.823010921,148,275.6283783783784,348813.0848703434,57.02325581395349,330.0227149810708,665.4821428571429,315022.8925382653,0,56,0,0,29,0,6,6,8,3,0,2.9999999999884586,29.52830410003662
115,2019-07-15 21:43:07.823010921,166,289.31325301204816,446568.85367977933,66.25,388.34134615384613,664.7241379310345,328529.3032104638,0,58,0,0,29,0,7,7,14,5,0,3.807354922037407,29.731581926345825
116,2019-07-15 21:43:37.823010921,138,249.6304347826087,338289.4793635791,57.648648648648646,292.4441197954712,629.2608695652174,301934.0623818525,0,46,0,0,23,0,6,6,8,3,0,2.9999999999884586,29.42162585258484
117,2019-07-15 21:44:07.823010921,156,264.9871794871795,374349.3588099933,71.81052631578947,2354.1114681440454,1391.6935483870968,23960510.954474505,2,61,0,0,29,0,8,8,12,4,0,3.584962500703843,28.999776124954224
118,2019-07-15 21:44:37.823010921,143,240.6013986013986,328040.91104699497,67.5,1173.8653846153845,545.3454545454546,289245.6442975207,0,55,0,2,23,0,7,7,9,3,0,3.169925001429328,29.548787832260132
119,2019-07-15 21:45:07.823010921,133,262.82706766917295,348893.96257561207,58.67088607594937,1236.777759974363,634.0697674418604,331679.64629529475,0,41,2,4,21,0,6,6,7,2,0,2.807354922047505,29.748066902160645
120,2019-07-15 21:45:37.823010921,123,270.9918699186992,325437.35765747906,54.91228070175438,474.7116035703293,954.0,351649.0,0,28,0,0,14,0,4,4,4,1,0,1.9999999999942293,29.615466833114624
121,2019-07-15 21:46:07.823010921,106,299.83962264150944,429320.1912602351,62.4375,80.49609375,930.28,351086.36160000006,0,25,0,0,13,0,4,4,5,1,0,2.321928094880149,29.242390871047974
122,2019-07-15 21:46:37.823010921,132,265.6818181818182,356360.00482093665,65.08695652173913,591.2678008821678,5349.90243902439,92473799.64901845,8,37,2,1,16,0,5,5,7,3,0,2.807354922047505,29.634122133255005
123,2019-07-15 21:47:07.823010921,131,260.6793893129771,354041.5307965736,53.72,662.7616,2314.3333333333335,41273171.83333334,2,35,0,2,15,0,6,6,8,3,0,2.9999999999884586,29.684534072875977
124,2019-07-15 21:47:37.823010921,114,283.49122807017545,402669.2323791936,59.98,222.21960000000007,930.28,351086.36160000006,0,25,0,0,13,0,4,4,4,1,0,1.9999999999942293,29.694201946258545
125,2019-07-15 21:48:07.823010921,165,309.24242424242425,455200.8382001837,60.64485981308411,738.3411651672636,1883.0192307692307,29957333.749630187,2,51,0,0,23,0,6,6,13,5,0,3.7004397181223365,29.505038022994995
126,2019-07-15 21:48:37.823010921,192,319.4635416666667,596231.9778374566,65.80952380952381,931.4875283446715,732.0888888888888,375668.747654321,0,45,0,0,22,0,6,6,18,11,1,4.169925001416344,29.607673168182373
127,2019-07-15 21:49:07.823010921,117,299.7350427350427,379310.3486010666,62.2,68.15999999999998,808.8918918918919,377749.8802045288,0,37,0,0,16,0,5,5,6,2,0,2.5849625007125,29.40691304206848
128,2019-07-15 21:49:37.823010921,188,328.47872340425533,596737.7814622002,68.63025210084034,688.485135230563,736.98,378123.3796,0,50,0,0,23,0,6,6,17,10,1,4.087462841225814,29.36779499053955
